"ID";"Assetpfad";"Familie";"Status";"Verantwortlich";"Notiz";"Letzte Aenderung"
"MP0-0103";"Assets/_Game/Prefabs/Items/WorldItem.prefab";"WorldItems/Loot";"abgenommen";"Codex";"Phase-4-WorldLoot produktiv integriert; GUID, Pickup-Trigger, Icon und Mengenanzeige erhalten";"2026-08-25"
"MP0-0104";"Assets/_Game/Prefabs/Loot/WorldChests/WorldChest_Common.prefab";"Truhen/Container";"abgenommen";"Phase-4-Weltkistenkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider/Trigger/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0105";"Assets/_Game/Prefabs/Loot/WorldChests/WorldChest_Guarded.prefab";"Truhen/Container";"abgenommen";"Phase-4-Weltkistenkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider/Trigger/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0106";"Assets/_Game/Prefabs/Loot/WorldChests/WorldChest_Hidden.prefab";"Truhen/Container";"abgenommen";"Phase-4-Weltkistenkit produktiv integriert; 3 LODs, vier Zustaende, GUID/Collider/Trigger/Interaktion geprueft";"MIDPOLY-000 Phase4";"2026-08-24"
"MP0-0107";"Assets/_Game/Prefabs/Player/Player.prefab";"Wanderer/Ausruestung";"abgenommen";"Codex";"Nutzer-Rueckbau 25.08.2026: Low-Poly-Wanderer GUID-erhaltend verdrahtet; CharacterController, 12 Ruestungsteile, 20 Handitems und 25 Clips validiert";"2026-08-25"
"MP0-0108";"Assets/_Game/Prefabs/Resources/Nodes/BerryBush.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"V2 Mid-Poly, Active/Exhausted, LODs, Clips und Gameplay-Integration PASS";"2026-08-20"
"MP0-0109";"Assets/_Game/Prefabs/Resources/Nodes/CopperVein.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"V2 Mid-Poly, Active/Exhausted, LODs, Clips, Werkzeug-Gating und Impact-Feedback PASS";"2026-08-20"
"MP0-0110";"Assets/_Game/Prefabs/Resources/Nodes/FiberPlant.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"V2 Mid-Poly, Active/Exhausted, LODs, Clips und Gameplay-Integration PASS";"2026-08-20"
"MP0-0111";"Assets/_Game/Prefabs/Resources/Nodes/GraniteDeposit.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit; Node-, Collider-, Werkzeug-, Ertrag- und Zonenvertrag erhalten";"2026-08-25"
"MP0-0112";"Assets/_Game/Prefabs/Resources/Nodes/HardwoodTree.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie: Active/Exhausted-, LOD-, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0113";"Assets/_Game/Prefabs/Resources/Nodes/IronVein.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Granit/Eisen-Kit; Node-, Collider-, Werkzeug-, Ertrag- und Zonenvertrag erhalten";"2026-08-25"
"MP0-0114";"Assets/_Game/Prefabs/Resources/Nodes/StoneDeposit.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"V2 Mid-Poly, Active/Exhausted, LODs, Clips und Gameplay-Integration PASS";"2026-08-20"
"MP0-0115";"Assets/_Game/Prefabs/Resources/Nodes/SwampHemp.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie: Active/Exhausted-, LOD-, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0116";"Assets/_Game/Prefabs/Resources/Nodes/Tree.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"V2 Mid-Poly, Active/Exhausted, LODs, Clips und Gameplay-Integration PASS";"2026-08-20"
"MP0-0117";"Assets/_Game/Prefabs/Resources/Visuals/BerryBush_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB mit LOD0/1/2 und Idle/Harvest-Clips";"2026-08-20"
"MP0-0118";"Assets/_Game/Prefabs/Resources/Visuals/BerryBush_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB, erschöpfter Zustand";"2026-08-20"
"MP0-0119";"Assets/_Game/Prefabs/Resources/Visuals/CopperVein_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB mit LOD0/1/2, Harvest-Clip und Impact-Feedback";"2026-08-20"
"MP0-0120";"Assets/_Game/Prefabs/Resources/Visuals/CopperVein_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB, klar ausgeschlagener Zustand";"2026-08-20"
"MP0-0121";"Assets/_Game/Prefabs/Resources/Visuals/FiberPlant_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB mit LOD0/1/2 und Idle/Harvest-Clips";"2026-08-20"
"MP0-0122";"Assets/_Game/Prefabs/Resources/Visuals/FiberPlant_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB, erschöpfter Zustand";"2026-08-20"
"MP0-0123";"Assets/_Game/Prefabs/Resources/Visuals/GraniteDeposit_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Mid-Poly LOD0/1/2, Harvest_Recoil und Mica-Material produktiv integriert";"2026-08-25"
"MP0-0124";"Assets/_Game/Prefabs/Resources/Visuals/GraniteDeposit_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Mid-Poly Exhausted-Rest produktiv integriert und sichtbar geprueft";"2026-08-25"
"MP0-0125";"Assets/_Game/Prefabs/Resources/Visuals/HardwoodTree_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie: Active/Exhausted-, LOD-, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0126";"Assets/_Game/Prefabs/Resources/Visuals/HardwoodTree_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie: Active/Exhausted-, LOD-, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0127";"Assets/_Game/Prefabs/Resources/Visuals/IronVein_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Mid-Poly LOD0/1/2, Harvest_Recoil und Eisenmaterial produktiv integriert";"2026-08-25"
"MP0-0128";"Assets/_Game/Prefabs/Resources/Visuals/IronVein_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Mid-Poly Exhausted-Rest produktiv integriert und sichtbar geprueft";"2026-08-25"
"MP0-0129";"Assets/_Game/Prefabs/Resources/Visuals/StoneDeposit_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB mit LOD0/1/2 und Harvest-Clip";"2026-08-20"
"MP0-0130";"Assets/_Game/Prefabs/Resources/Visuals/StoneDeposit_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB, Bruch-/Restzustand";"2026-08-20"
"MP0-0131";"Assets/_Game/Prefabs/Resources/Visuals/SwampHemp_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie: Active/Exhausted-, LOD-, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0132";"Assets/_Game/Prefabs/Resources/Visuals/SwampHemp_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Phase-5-Ressourcenfamilie: Active/Exhausted-, LOD-, Material- und Collidervertrag abgenommen";"2026-08-25"
"MP0-0133";"Assets/_Game/Prefabs/Resources/Visuals/Tree_Active.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB mit LOD0/1/2 und Idle/Harvest-Clips";"2026-08-20"
"MP0-0134";"Assets/_Game/Prefabs/Resources/Visuals/Tree_Exhausted.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Freigegebenes V2-GLB, Stumpf-/Restzustand";"2026-08-20"
"MP0-0135";"Assets/_Game/Prefabs/Stations/StorageChest.prefab";"Gebaeude/Stationen";"abgenommen";"Codex";"Phase 4: Mid-Poly-Produktion 7240/3556/1420 Tris, 3 Materialien, echter Innenraum, getrennte Deckelachse, GUID/Gameplay/Trigger erhalten";"2026-08-24"
"MP0-0136";"Assets/_Game/Prefabs/Stations/Workbench.prefab";"Gebaeude/Stationen";"abgenommen";"Codex";"Mid-Poly-Golden-Master mit 3 LODs, 5 Materialien und semantischen Funktionsankern; GUID, Trigger, Navigation und Interaktion erhalten; Legacy-Fallback gesichert";"2026-08-20"
"MP0-0137";"Assets/_Game/Resources/Art/BuildGrid/BLD_Grid_Area.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0138";"Assets/_Game/Resources/Art/BuildGrid/BLD_Grid_Boundary.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0139";"Assets/_Game/Resources/Art/BuildGrid/BLD_Grid_Cell.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0140";"Assets/_Game/Resources/Art/BuildGrid/BLD_Grid_Edge.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0141";"Assets/_Game/Resources/Art/BuildGrid/BLD_Grid_Node.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0142";"Assets/_Game/Resources/Art/BuildGrid/BLD_Grid_Zone.prefab";"Ressourcen/Vegetation";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0143";"Assets/_Game/Resources/Art/Buildings/BLD_Preview_Mark.prefab";"Gebaeude/Stationen";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0144";"Assets/_Game/Resources/Art/Buildings/BLD_Roof_Tile.prefab";"Gebaeude/Stationen";"abgenommen";"Codex";"Bewusst planares Funktionsasset fuer Bauplatzierung; Phase-4-Vertrag abgenommen";"2026-08-25"
"MP0-0145";"Assets/_Game/Resources/Prefabs/Actors/2D/Noctarion_2D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0146";"Assets/_Game/Resources/Prefabs/Actors/2D/Terrock_2D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Legacy-Quelle nach GUID-Nullreferenzpruefung ausserhalb von Assets archiviert; produktive Mid-Poly-Fassung abgenommen";"2026-08-25"
"MP0-0147";"Assets/_Game/Resources/Prefabs/Actors/3D/Ignivar_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0148";"Assets/_Game/Resources/Prefabs/Actors/3D/Noctarion_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0149";"Assets/_Game/Resources/Prefabs/Actors/3D/Terrock_3D.prefab";"Figuren/Kreaturen";"abgenommen";"Codex";"Produktive Mid-Poly-Fassung mit LOD-, Rig-, Clip-, GUID- und Unity-Vertrag abgenommen";"2026-08-24"
"MP0-0150";"Assets/_Game/Resources/Prefabs/DeathBag.prefab";"WorldItems/Loot";"abgenommen";"Codex";"Phase-4-WorldLoot produktiv integriert; GUID, Trigger, 24 Slots, Reichweite und Persistenz erhalten";"2026-08-25"
